batch_id,timestamp,num_input_rows,input_rows_per_second,processed_rows_per_second,batch_duration_ms
204,2026-08-20T23:38:27.344Z,1801,0.0,613.4196185286104,2936
205,2026-08-20T23:38:30.296Z,1801,610.0948509485095,2345.0520833333335,768
206,2026-08-20T23:38:31.066Z,1801,2338.961038961039,2558.2386363636365,704
207,2026-08-20T23:38:31.771Z,1801,2554.6099290780144,2680.059523809524,672
208,2026-08-20T23:38:32.444Z,1801,2676.077265973254,2554.6099290780144,705
209,2026-08-20T23:38:33.150Z,1801,2550.9915014164308,2547.3833097595475,707
0,2026-08-20T23:48:35.880Z,1801,0.0,636.1709643235606,2831
1,2026-08-20T23:48:40.000Z,1801,437.13592233009706,2285.5329949238576,788
2,2026-08-20T23:48:45.003Z,1801,359.98400959424345,2515.36312849162,716
3,2026-08-20T23:48:50.001Z,1801,360.344137655062,2640.7624633431083,682
4,2026-08-20T23:48:55.001Z,1801,360.2,2704.204204204204,666
5,2026-08-20T23:49:00.005Z,1801,359.9120703437251,2684.053651266766,670
6,2026-08-20T23:49:05.005Z,1801,360.2,2382.2751322751324,756
7,2026-08-20T23:49:10.001Z,1801,360.48839071257004,2420.6989247311826,744
8,2026-08-20T23:49:15.005Z,1801,359.9120703437251,2554.6099290780144,705
9,2026-08-20T23:49:20.006Z,1801,360.12797440511895,2404.539385847797,749
10,2026-08-20T23:49:25.005Z,1801,360.2720544108822,2745.4268292682927,656
11,2026-08-20T23:49:30.005Z,1801,360.2,2845.1816745655606,633
12,2026-08-20T23:49:35.001Z,1801,360.48839071257004,2836.220472440945,635
13,2026-08-20T23:49:40.000Z,1801,360.2720544108822,2712.349397590361,663
14,2026-08-20T23:49:45.005Z,1801,359.84015984015986,2457.025920873124,733
15,2026-08-20T23:49:50.005Z,1801,360.2,2831.761006289308,636
16,2026-08-20T23:49:55.001Z,1801,360.48839071257004,2636.8960468521227,683
17,2026-08-20T23:50:00.005Z,1801,359.9120703437251,2818.466353677621,639
18,2026-08-20T23:50:05.006Z,1801,360.12797440511895,2494.4598337950138,722
